IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2021,false,,,,,,,,,,,,,42.96,,,,,,42.96,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-22T16:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,ISL,Iceland,Year,2021,false,,,,,,,,,,,,,43.77,,,,,,43.77,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-22T16:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,SWE,Sweden,Year,2021,false,,,,,,,,,,,,,44.08,,,,,,44.08,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-22T16:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,CHE,Switzerland,Year,2021,false,,,,,,,,,,,,,44.35,,,,,,44.35,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-22T16:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,ESP,Spain,Year,2021,false,,,,,,,,,,,,,44.59,,,,,,44.59,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-22T16:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,LTU,Lithuania,Year,2021,false,,,,,,,,,,,,,44.85,,,,,,44.85,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-22T16:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,DNK,Denmark,Year,2021,false,,,,,,,,,,,,,44.98,,,,,,44.98,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-22T16:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,DEU,Germany,Year,2021,false,,,,,,,,,,,,,45.03,,,,,,45.03,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-22T16:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AMR,Americas,Country,URY,Uruguay,Year,2021,false,,,,,,,,,,,,,45.48,,,,,,45.48,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-22T16:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,BLR,Belarus,Year,2021,false,,,,,,,,,,,,,46.16,,,,,,46.16,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-22T16:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,AND,Andorra,Year,2021,false,,,,,,,,,,,,,47.58,,,,,,47.58,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-22T16:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,NOR,Norway,Year,2021,false,,,,,,,,,,,,,47.68,,,,,,47.68,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-22T16:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2021,false,,,,,,,,,,,,,5.41,,,,,,5.41,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-22T16:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2021,false,,,,,,,,,,,,,5.61,,,,,,5.61,,"NHWA data portal, December 2025 update; https://apps.who.int/nhwaportal/",EN,2026-01-22T16:00:00.000Z
